latitude,longitude,no2
25.16409,75.858137,22.0
12.864618,79.659968,5.0
11.06825,79.07033,10.0
12.909494,79.131861,1.0
13.0664,80.2112,24.0
13.1662,80.2584,3.0
10.830158,78.691849,6.0
28.38910936,79.42963708,10.0
28.646233,77.358075,34.0
27.23711,78.01936,23.0
26.766433,80.927299,12.0
22.611968,88.347422,24.0
25.32393,82.99687,2.0
28.849399,78.742362,25.0
28.802625,78.753728,27.0
29.06351,77.709723,15.0
23.616515,87.119133,11.0
22.7605581,88.3617589,16.0
22.58157048,88.41002457,16.0
22.627847,88.380669,48.0
26.181742,91.78063,3.0
27.103358,93.679645,
26.11442,85.39813,5.0
26.80365,84.51954,
14.675886,77.593027,
24.75746,84.366208,8.0
22.12665,83.483212,2.0
25.610369,85.132568,13.0
22.08815,82.13737,
22.348441,82.549611,42.0
21.237755,81.705301,6.0
28.815329,77.15301,29.0
25.366336,87.117468,6.0
30.735567,76.775714,24.0
28.611281,77.237738,32.0
23.016834,72.625775,31.0
12.938539,77.5901,11.0
12.415911,75.73505,2.0
12.88925,74.853,8.0
23.8640158,78.80289321,6.0
22.7524,75.8872,1.0
22.76726,75.8871,
26.203442,78.193251,8.0
26.259242,78.216432,9.0
22.431,75.5213,48.0
19.87562,75.38731,32.0
13.377516,77.099072,23.0
11.875,75.3732,17.0
23.10844,77.511428,17.0
23.210494,77.425409,7.0
19.065931,72.862131,16.0
19.1653323,72.922099,34.0
18.640051,73.848956,23.0
16.5038,74.3623,5.0
19.047,72.8746,19.0
21.152875,79.0517531,9.0
20.021503,73.813844,4.0
22.18972222,84.86277778,14.0
21.606865,85.510538,4.0
21.847279,85.416905,15.0
22.1166054,85.3945546,26.0
30.233011,74.907758,44.0
25.106006,76.469948,10.0
24.588397,76.172782,60.0
28.108988,75.386577,10.0
29.61075,74.283608,9.0
26.902909,75.836858,31.0
26.960669,75.771817,37.0
28.207266,76.829265,25.0
10.942451,76.978996,7.0
11.6829898,79.7532099,19.0
10.681158,78.741746,7.0
11.258242,77.552761,6.0
12.9099161,80.1076538,27.0
24.5886166,73.6321397,30.0
23.8175497,91.2726974,4.0
27.19862,77.92066,37.0
28.359581,79.414455,2.0
10.7654824,79.1389968,2.0
26.730136,83.433859,11.0
17.5316895,78.218939,
28.6245479,77.3577104,18.0
28.5898,77.3101,37.0
25.425602,81.917152,6.0
26.90723,80.98579,23.0
26.8458805,80.9365541,40.0
28.999264,77.7590354,12.0
28.840739,78.697531,18.0
25.494,81.863,12.0
27.571409,77.655757,12.0
28.2348927,77.8683002,3.0
28.88528,78.7388,16.0
30.075911,78.2859547,16.0
23.567923,87.306843,12.0
22.6025571,88.3105664,63.0
22.5687319,88.2797276,15.0
22.5448082,88.3403691,18.0
25.42742023,86.13886079,54.0
25.251013,86.989001,14.0
26.0881305,87.93840336,
27.308328,84.531742,6.0
26.2028636,91.70046436,1.0
26.349082,92.68449,1.0
26.146529,87.454184,11.0
26.63086,84.90051,8.0
16.509717,80.612222,43.0
21.371751,81.664929,10.0
28.5512005,77.2735737,13.0
22.118125,83.140608,
25.599486,85.113666,23.0
25.0328,85.41948,9.0
28.647622,77.315809,50.0
28.695381,77.181665,41.0
21.194815,81.31477,9.0
28.588333,77.221667,65.0
28.636429,77.201067,22.0
28.530785,77.271255,35.0
28.623763,77.287209,
28.674045,77.131023,27.0
23.020509,72.579261,17.0
23.041137,72.456691,5.0
28.699793,77.165453,52.0
21.613267,73.010555,41.0
28.628624,77.24106,82.0
28.6514781,77.1473105,57.0
12.7816279,77.6299145,24.0
13.0270199,77.494094,21.0
12.921418,77.502466,37.0
15.3714823,75.1160168,7.0
17.321993,76.822628,12.0
15.411456,75.638133,
30.943887,76.801991,36.0
12.9756843,77.5660749,50.0
12.990328,77.5431385,20.0
12.917348,77.622813,8.0
23.331731,75.045981,35.0
24.10897,82.64558,8.0
19.863756,75.321188,26.0
16.7602,77.1428,41.0
23.163174,79.973061,38.0
19.10122,74.73339,
20.9402359,77.7895248,
20.939198,77.765701,
8.5149093,76.9435879,21.0
19.0243902,73.0406721,28.0
19.309073,73.057223,44.0
19.786089,72.757971,10.0
21.001264,75.565602,15.0
18.96702,72.84214,17.0
19.060498,72.923356,3.0
19.10078,72.87462,20.0
19.215859,72.831718,
19.090337,73.014232,11.0
18.530085,73.849598,25.0
18.547056,73.826908,5.0
19.008751,73.01662,24.0
19.063,73.1209,14.0
18.59051,73.77946,12.0
19.235581,73.159121,36.0
21.143383,79.048912,7.0
20.24079,85.836784,9.0
25.5586,91.8985,
22.220833,84.809444,25.0
20.9360711,85.1707021,47.0
31.62,74.876512,39.0
30.649961,76.331442,26.0
26.843698,75.766894,22.0
26.786682,75.827928,28.0
26.506177,77.025989,6.0
25.14389,75.821256,13.0
27.213494,73.734444,6.0
24.041198,74.780702,7.0
23.837789,73.714926,5.0
26.268249,73.0193853,15.0
26.9502929,75.730943,23.0
26.895552,76.334753,
11.679111,78.125052,12.0
8.816428,78.099039,5.0
26.031443,76.359327,16.0
11.4068288,76.7138973,
13.1278,80.2642,25.0
13.0052189,80.2398125,17.0
9.865935,78.022669,
28.406963,77.849831,12.0
17.528544,78.286195,21.0
17.4559458,78.4332152,27.0
27.1594,78.3953,
17.585705,78.126199,14.0
17.429398,78.569354,15.0
28.725645,77.749675,43.0
25.4547,78.6039,6.0
26.428282,80.327067,17.0
25.301778,82.996789,8.0
26.509954,80.249612,16.0
26.4703136,80.3229863,53.0
26.86812,81.005119,10.0
26.906111,80.948222,25.0
26.83399722,80.8917361,41.0
29.2124114,78.9611753,17.0
23.685297,86.945968,25.0
25.44919916,81.82735986,5.0
25.3505986,82.9083074,15.0
28.856664,78.772638,25.0
22.51106,88.35142,41.0
